
"""
| C      | coefficients              | intercept   |
| ------ | ------------------------- | ----------- |
| 0.0001 | (-0.0001991 , 0.03744356) | -0.58394767 |
| 0.0001 | (-0.00149201, 0.03793374) | -0.57622383 |
| 0.0001 | (-0.00167394, 0.03765545) | -0.57822739 |
| 0.0001 | (-0.00194616, 0.03853735) | -0.57604294 |
| 0.0001 | (-0.00044512, 0.03860539) | -0.54996802 |
| 0.0005 | (-0.00112286, 0.15571392) | -0.58226211 |
| 0.0005 | (-0.00563262, 0.15883643) | -0.57386471 |
| 0.0005 | (-0.00710008, 0.15755574) | -0.57425409 |
| 0.0005 | (-0.00763353, 0.15977721) | -0.57314278 |
| 0.0005 | (-0.00187399, 0.16110892) | -0.54986642 |
| 0.001  | (-0.00227107, 0.25730706) | -0.58081154 |
| 0.001  | (-0.00849241, 0.26402938) | -0.57183982 |
| 0.001  | (-0.01193043, 0.26172851) | -0.57079855 |
| 0.001  | (-0.01197064, 0.26333773) | -0.57068976 |
| 0.001  | (-0.00312916, 0.2670253)  | -0.54977843 |
| 0.005  | (-0.00712586, 0.53825502) | -0.57678742 |
| 0.005  | (-0.013016  , 0.56160447) | -0.56624474 |
| 0.005  | (-0.02611346, 0.55562398) | -0.56103326 |
| 0.005  | (-0.0214124 , 0.54696798) | -0.56408473 |
| 0.005  | (-0.00673422, 0.56326942) | -0.54953156 |
| 0.01   | (-0.00907547, 0.62333495) | -0.57556516 |
| 0.01   | (-0.01339572, 0.65371777) | -0.56455086 |
| 0.01   | (-0.03065051, 0.64634796) | -0.55801408 |
| 0.01   | (-0.02355472, 0.63207374) | -0.56213495 |
| 0.01   | (-0.00786484, 0.65395914) | -0.54945577 |
| 0.05   | (-0.01138321, 0.71357047) | -0.57426703 |
| 0.05   | (-0.01329042, 0.75246119) | -0.56275418 |
| 0.05   | (-0.03558692, 0.74346457) | -0.55477981 |
| 0.05   | (-0.02547354, 0.72194336) | -0.56009199 |
| 0.05   | (-0.00908376, 0.75064591) | -0.54937486 |
| 0.1    | (-0.01174003, 0.72672096) | -0.57407769 |
| 0.1    | (-0.01323122, 0.76694288) | -0.56249231 |
| 0.1    | (-0.03631707, 0.7576955)  | -0.55430568 |
| 0.1    | (-0.02572319, 0.73500693) | -0.55979639 |
| 0.1    | (-0.0092631 , 0.76477984) | -0.54936303 |
| 0.5    | (-0.01203903, 0.7375956)  | -0.57392109 |
| 0.5    | (-0.01317381, 0.77893605) | -0.56227575 |
| 0.5    | (-0.03692294, 0.76947861) | -0.55391306 |
| 0.5    | (-0.02592392, 0.74580327) | -0.55955235 |
| 0.5    | (-0.00941173, 0.77647607) | -0.54935323 |
| 1      | (-0.01207729, 0.73897786) | -0.57390118 |
| 1      | (-0.01316597, 0.78046163) | -0.56224822 |
| 1      | (-0.03700008, 0.77097732) | -0.55386312 |
| 1      | (-0.02594906, 0.74717516) | -0.55952135 |
| 1      | (-0.00943064, 0.7779633)  | -0.54935199 |
| 5      | (-0.01210804, 0.7400874)  | -0.5738852  |
| 5      | (-0.01315958, 0.78168641) | -0.56222612 |
| 5      | (-0.03706203, 0.77218049) | -0.55382303 |
| 5      | (-0.02596918, 0.74827631) | -0.55949648 |
| 5      | (-0.00944583, 0.77915719) | -0.54935099 |
| 10     | (-0.01211189, 0.74022633) | -0.5738832  |
| 10     | (-0.01315878, 0.78183977) | -0.56222336 |
| 10     | (-0.03706979, 0.77233116) | -0.55381801 |
| 10     | (-0.0259717 , 0.74841419) | -0.55949336 |
| 10     | (-0.00944773, 0.77930669) | -0.54935086 |
| 50     | (-0.01211497, 0.74033751) | -0.5738816  |
| 50     | (-0.01315813, 0.78196251) | -0.56222114 |
| 50     | (-0.037076  , 0.77245173) | -0.55381399 |
| 50     | (-0.02597371, 0.74852452) | -0.55949087 |
| 50     | (-0.00944925, 0.77942632) | -0.54935076 |
| 100    | (-0.01211536, 0.74035141) | -0.5738814  |
| 100    | (-0.01315805, 0.78197786) | -0.56222087 |
| 100    | (-0.03707677, 0.7724668)  | -0.55381349 |
| 100    | (-0.02597396, 0.74853831) | -0.55949056 |
| 100    | (-0.00944944  0.77944128) | -0.54935075 |

"""
